text|entity_start|entity_end|emotion_labels|emotions
Andrew starts reading his favourite comic book|0|2|[3]|['joy']
I asked my brother to bring me a gift from his trip. He didn't bring anything.|0|1|[5]|['sadness']
I experienced...when as a child I came home from school and my mother was not there. In those days I lived alone with her.  It was several hours before she finally returned.|22|23|[5, 2]|['sadness', 'fear']
I experienced...when as a child I came home from school and my mother was not there. In those days I lived alone with her.  It was several hours before she finally returned.|13|15|[4]|['neutral']
I feel ... because I am still in bed at 12:30 pm.  Wish I had got up earlier.|17|18|[4]|['neutral']
I feel ... because I cheated on a previous girlfriend.|7|10|[0, 5]|['anger', 'sadness']
I feel ... because I didn't spend as much time as I should with my ill brother before he died.|12|13|[5]|['sadness']
I feel ... because I didn't visit a friend who was unwell.|8|10|[5, 4]|['sadness', 'neutral']
I feel ... because I look back on my younger school days and I wasn't very nice to some people.  Even now it still bothers me that I could have been like that when I wouldn't dream of being horrible to someone as an adult.|20|21|[0, 5]|['anger', 'sadness']
I feel ... that I am sitting at home eating too much when there are people starving in the world, and regular adverts on certain cable tv channels reminds me of this.|15|16|[5]|['sadness']
I feel ... when I hear sad things, such as news of a death, or somebody having a terminal illness. I feel ... when I watch sad films and sometimes I feel ... when the weather is grey and depressing.|33|34|[5]|['sadness']
I feel ... when I read about a recent case of animal cruelty in the newspaper.|4|5|[0, 5]|['anger', 'sadness']
I feel ... when I read about orangutans and palm oil.|4|5|[0, 5]|['anger', 'sadness']
I feel ... when I read about the people drowning in the sea, while attempting to reach the coasts of Italy.|4|5|[0, 5]|['anger', 'sadness']
I feel ... when I read about the people drowning in the sea, while attempting to reach the coasts of Italy.|7|13|[2]|['fear']
I feel ... when I see how some people live on television.|4|5|[0, 5]|['anger', 'sadness']
I feel ... when I see how some people live on television.|7|9|[5, 4]|['sadness', 'neutral']
I feel ... when I see news headlines on television of how people have not cared for their children or have abused them.|4|5|[0, 5]|['anger', 'sadness']
I feel ... when I see news headlines on television of how people have not cared for their children or have abused them.|12|13|[4]|['neutral']
I feel ... when I see news headlines on television of how people have not cared for their children or have abused them.|17|19|[5, 2]|['sadness', 'fear']
I feel ... when I walk by homeless people on the street.|4|5|[5, 4]|['sadness', 'neutral']
I feel ... when I walk by homeless people on the street.|7|9|[4]|['neutral']
I feel ... when I watch my football team lose.|4|5|[5]|['sadness']
