text|experiencer|emotion|explicit
" ""My affection was strong enough to sweep them away,"" he said, ""or I should not be here."|My|['joy']|True
" ""Nothing would be so serious to me as that you should let them interfere with my happiness,"" he answered, thrown back upon himself, and bewildered by her logical manner."|he|['fear', 'surprise']|True
" ""Well,"" she remarked, ""I hope it's an important one."|I|['joy', 'surprise']|True
" ""Yes,"" she said quietly: ""you have been unfortunate."|you|['sadness']|True
" ""You are treating me unfairly!"" "|you|['anger', 'disgust', 'sadness']|True
 He paused a moment, annoyed because he found it difficult to go on; annoyed because she waited with such undisturbed serenity.|he|['anger', 'disgust', 'fear']|True
 He paused a moment, annoyed because he found it difficult to go on; annoyed because she waited with such undisturbed serenity.|she|['joy']|True
 He rose from his seat pale with wrath and wounded feeling.|He|['anger', 'fear', 'sadness']|True
 He rose from his seat pale with wrath and wounded feeling.|He |['anger', 'fear']|True
 How gray he looked, and how infinitely tried.|he|['sadness']|True
" I am very much in love with you,"" he said vehemently, his feelings getting the better of his pride for once."|I|['joy']|True
" I am very much in love with you,"" he said vehemently, his feelings getting the better of his pride for once."|he|['surprise']|True
" It is important,--rather,"" he responded, with a tone of sarcasm."|he|['anger', 'disgust', 'sadness']|True
 Lucia blushed guiltily.|Lucia|['anger', 'sadness']|True
 Lucia, who had been looking steadily out of the carriage-window, turned, with an amazed expression.|Lucia|['joy', 'surprise']|True
 Martin Bassett led her to a seat, and smiled more triumphantly still.|Martin Bassett|['joy', 'surprise']|True
 Mrs. Burnham glanced toward him, and then a slight smile illuminated her countenance.|Mrs. Burnham|['joy', 'surprise']|True
 She laughed.|she|['joy', 'surprise']|True
 She smiled slightly again.|she|['joy', 'surprise']|True
 She went back, and finished her game, apparently enjoying it as much as ever.|She|['joy']|True
 Suddenly she turned, and looked at him.|she|['surprise']|True
" asked Olly""] Milly kissed her, and Olly shook her hand, and they didn't all quite know what to say."|Milly|['joy', 'surprise']|True
 exclaimed Marzio, staggering and leaning against the door-post.|Marzio|['surprise']|True
 exclaimed San Miniato.|San Miniato|['surprise']|True
" he demanded, ""that your answer is 'no'?"" "|he|['anger']|True
"""Suppose,"" said Octavia nervously, as they drew up, ""suppose they are here--already."|Octavia|['fear']|True
' Ram Lal stood beside Isaacs, whose face was still hidden, and laid his hand with tender gentleness on the weary head.|his|['sadness']|True
''Sir,'' returned the President curtly, ''you have made a mistake. |you|['sadness']|True
''Your love has been of the best kind that falls to the lot of man.|your|['joy']|True
'A ruined man - yes,'' returned the other suspiciously, ''or else a millionaire.''  |the other|['anger']|True
'Friend Isaacs,'' he continued, ''I am not here to mock at your grief or to weary your strained heartstrings with such petty condolence as well-nigh drove Ayoub of old to impatience.|your|['anger', 'sadness']|True
'He will be here immediately,'' he said, with a nod, as he disappeared.  |he|['fear']|True
'I am rather surprised you gave them so long a lease,' remarked Mr. Wyvern.|I|['surprise']|True
'I am very glad, very glad.|I|['joy']|True
'I found you again, a different man, a far happier man, though you would hardly allow that.|you|['joy']|True
'I had supposed as much,'' returned the Prince, with undisturbed good humour; ''but I was unwilling to remind you of the difference in our stations.  |the Prince|['joy', 'surprise']|True
'I hope I do not disturb you,' Hubert said with equal self-control.|I|['joy', 'surprise']|True
'I hope you've got everything nice in the way of dress, you know, Edie,' said Harry.|I|['joy', 'surprise']|True
'I know that I have forfeited your love.|I|['anger', 'sadness']|True
'I know that I have forfeited your love.|your|['joy']|True
'I like you, Mr. Godall,'' returned the young man; ''you inspire me with a natural confidence; and I have not the slightest objection to your friend the Major, whom I take to be a nobleman in masquerade.  |me|['joy']|True
'I pray you, tell it me,' she said; 'tell it me, in pity.'|she|['sadness']|True
'I thought I had killed Gondremark,' she said with a deep flush, 'and I found myself alone, as you said.'|I|['fear', 'sadness']|True
'I'm afraid there's nothing to be done, but I thought I'd better come and tell you.|I|['fear']|True
'I'm glad I'm going to Oxford at last, Harry,' she said, after a short pause.|I|['joy']|True
'I'm too ill to talk with you,' Kate replied, 'but I loved my husband well, too well.|I|['disgust', 'joy', 'sadness']|True
'In my dilettante way,' he replied smiling.|he|['joy']|True
'It was only forty pounds he needed,'' said the young man gloomily. |the young man|['sadness']|True
'It's certainly very pretty,' Harry went on, musing; 'but I'm afraid Le Breton would say it was a serious piece of economic hubris.'|I|['fear']|True
'Look round you at this glade,' she cried, 'and where the leaves are coming on young trees, and the flowers begin to blossom.|she|['sadness']|True
'My fear is certainly not personal,'' replied the other proudly; ''of that your Highness may rest well assured.''  |My|['fear']|True
'My fear is certainly not personal,'' replied the other proudly; ''of that your Highness may rest well assured.''  |the other|['joy']|True
'O, many, many,' said the Prince; 'but from you, who were bold with me in my greatness, I should even look for aid in my distress.'|my|['anger', 'disgust', 'fear', 'joy', 'sadness', 'surprise']|True
'Oh, I don't know; don't ask me; I am so miserable at home; I can't tell you how unhappy I am.|I|['anger', 'disgust', 'sadness']|True
'Right gladly will I be thy guide, Abdul,'' Ram Lal gave answer.''|I|['joy']|True
'Seraphina,' he cried, 'O, forget the past!|he|['sadness']|True
'Show pity,'' said the wise old Frenchman, ''do anything to alleviate distress, but avoid actually feeling either compassion or sympathy.|the wise old Frenchman|['sadness']|True
'Thank you, Harry, for the compliment.|Harry|['joy', 'surprise']|True
'The spirit, sir,'' returned the young man, with another bow, ''is one of mockery.''  |young man|['disgust']|True
'Therefore you accomplished your first destiny, and you drank of the cup that was filled to overflowing.|you|['joy']|True
'Unhappy man,'' he cried, ''you should not have burned them all!  |he|['sadness']|True
'Well, well, Mrs. Oswald,' said the old lady, shaking her head more violently than ever at this direct discomfiture, 'I don't want to argue with you about the matter.|I|['anger']|True
'Well, well, Mrs. Oswald,' said the old lady, shaking her head more violently than ever at this direct discomfiture, 'I don't want to argue with you about the matter.|old lady|['anger', 'disgust', 'fear', 'surprise']|True
'Well,' he cried, 'and whose fault was it but mine?  |he|['sadness']|True
'What does he mean by half-way down the street,' she muttered; 'he meant a quarter down,' and she addressed herself to the door-keeper, who answered surlily that Mr. Lennox was particularly engaged at that moment, but at Mrs. Rawson's words--'I believe his wife is dying'--he agreed to send up a message as soon as he could get hold of somebody to take it.|his wife|['fear', 'sadness']|True
'Yes, once; he wrote to me to say that he hoped to see me when he came home.'|he|['joy', 'surprise']|True
'Yes,' he said, as though to himself; 'I love her. |I|['joy']|True
'You are a man any woman might love.|you|['joy']|True
'You are more beautiful every day, dear,' she added, in spite of a tremor which almost checked her in uttering a compliment which her sister might think too frivolous.|you|['joy']|True
'You are too generous, Otto,' she said.|you|['joy']|True
'You disregard those differences which you say are only of the intellect, and still love me.|you|['joy']|True
'You lack confidence in us,'' he said, ''and you are wrong.  |you|['disgust']|True
'You wrote very kindly.'|you|['joy']|True
'Your coolness does me good,'' replied their guide.  |me|['joy', 'surprise']|True
/--I am alive , though declared to be dead ; alive in the fullness of manly force/-- and even sorrow has left few distinguishing marks upon me , save one .|I|['anger', 'fear', 'joy']|True
/--I am alive , though declared to be dead ; alive in the fullness of manly force/-- and even sorrow has left few distinguishing marks upon me , save one .|me|['sadness']|True
A boy's love comes from a full heart; a man's is more often the result of a full stomach.|A boy's|['joy']|True
A broken-hearted lover, a grief-stricken father, and a dozen sweet girls, their eyes and cheeks streaming with tears.|a grief-stricken father|['sadness']|True
A cry burst from Octavia,--a queer, soft little cry.|Octavia|['sadness']|True
A few minutes later she returned saying she was afraid Mrs. Lennox was dying, and that it might be as well to send to the hospital.|Mrs. Lennox|['fear', 'sadness']|True
A few minutes later she returned saying she was afraid Mrs. Lennox was dying, and that it might be as well to send to the hospital.|she|['fear']|True
A hot flush showed itself on Miss Minchin's hard, angry face.|Miss Minchin's|['anger', 'disgust']|True
A man with a hand-cart, and with something shapeless upon the hand-cart, in the dark, hurrying towards the river--such a man would excite the suspicions of a policeman.|a policeman|['fear', 'joy', 'surprise']|True
