text|entity_start|entity_end|emotion_labels|emotions|emotion_count
" ""My affection was strong enough to sweep them away,"" he said, ""or I should not be here."|1|2|[3]|['joy']|1
" ""Nothing would be so serious to me as that you should let them interfere with my happiness,"" he answered, thrown back upon himself, and bewildered by her logical manner."|19|20|[2, 5]|['fear', 'surprise']|2
" ""Well,"" she remarked, ""I hope it's an important one."|7|8|[3, 5]|['joy', 'surprise']|2
" ""Yes,"" she said quietly: ""you have been unfortunate."|8|9|[4]|['sadness']|1
" ""You are treating me unfairly!"" "|1|2|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
 He paused a moment, annoyed because he found it difficult to go on; annoyed because she waited with such undisturbed serenity.|7|8|[0, 1, 2]|['anger', 'disgust', 'fear']|3
 He paused a moment, annoyed because he found it difficult to go on; annoyed because she waited with such undisturbed serenity.|17|18|[3]|['joy']|1
 He rose from his seat pale with wrath and wounded feeling.|0|1|[0, 2, 4]|['anger', 'fear', 'sadness']|3
 How gray he looked, and how infinitely tried.|2|3|[4]|['sadness']|1
" I am very much in love with you,"" he said vehemently, his feelings getting the better of his pride for once."|0|1|[3]|['joy']|1
" I am very much in love with you,"" he said vehemently, his feelings getting the better of his pride for once."|9|10|[5]|['surprise']|1
" It is important,--rather,"" he responded, with a tone of sarcasm."|7|8|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
 Lucia blushed guiltily.|0|2|[0, 4]|['anger', 'sadness']|2
 Lucia, who had been looking steadily out of the carriage-window, turned, with an amazed expression.|0|2|[3, 5]|['joy', 'surprise']|2
 Martin Bassett led her to a seat, and smiled more triumphantly still.|0|4|[3, 5]|['joy', 'surprise']|2
 Mrs. Burnham glanced toward him, and then a slight smile illuminated her countenance.|0|5|[3, 5]|['joy', 'surprise']|2
 She laughed.|0|1|[3, 5]|['joy', 'surprise']|2
 She smiled slightly again.|0|1|[3, 5]|['joy', 'surprise']|2
 She went back, and finished her game, apparently enjoying it as much as ever.|0|1|[3]|['joy']|1
 Suddenly she turned, and looked at him.|1|2|[5]|['surprise']|1
" asked Olly""] Milly kissed her, and Olly shook her hand, and they didn't all quite know what to say."|4|6|[3, 5]|['joy', 'surprise']|2
 exclaimed Marzio, staggering and leaning against the door-post.|1|4|[5]|['surprise']|1
 exclaimed San Miniato.|1|5|[5]|['surprise']|1
" he demanded, ""that your answer is 'no'?"" "|0|1|[0]|['anger']|1
"""Suppose,"" said Octavia nervously, as they drew up, ""suppose they are here--already."|5|7|[2]|['fear']|1
' Ram Lal stood beside Isaacs, whose face was still hidden, and laid his hand with tender gentleness on the weary head.|18|19|[4]|['sadness']|1
''Sir,'' returned the President curtly, ''you have made a mistake. |12|13|[4]|['sadness']|1
''Your love has been of the best kind that falls to the lot of man.|1|2|[3]|['joy']|1
'A ruined man - yes,'' returned the other suspiciously, ''or else a millionaire.''  |8|10|[0]|['anger']|1
'Friend Isaacs,'' he continued, ''I am not here to mock at your grief or to weary your strained heartstrings with such petty condolence as well-nigh drove Ayoub of old to impatience.|22|23|[0, 4]|['anger', 'sadness']|2
'He will be here immediately,'' he said, with a nod, as he disappeared.  |15|16|[2]|['fear']|1
'I am rather surprised you gave them so long a lease,' remarked Mr. Wyvern.|1|2|[5]|['surprise']|1
'I am very glad, very glad.|1|2|[3]|['joy']|1
'I found you again, a different man, a far happier man, though you would hardly allow that.|16|17|[3]|['joy']|1
'I had supposed as much,'' returned the Prince, with undisturbed good humour; ''but I was unwilling to remind you of the difference in our stations.  |8|10|[3, 5]|['joy', 'surprise']|2
'I hope I do not disturb you,' Hubert said with equal self-control.|3|4|[3, 5]|['joy', 'surprise']|2
'I hope you've got everything nice in the way of dress, you know, Edie,' said Harry.|1|2|[3, 5]|['joy', 'surprise']|2
'I know that I have forfeited your love.|4|5|[0, 4]|['anger', 'sadness']|2
'I know that I have forfeited your love.|8|9|[3]|['joy']|1
'I like you, Mr. Godall,'' returned the young man; ''you inspire me with a natural confidence; and I have not the slightest objection to your friend the Major, whom I take to be a nobleman in masquerade.  |19|20|[3]|['joy']|1
'I pray you, tell it me,' she said; 'tell it me, in pity.'|9|10|[4]|['sadness']|1
'I thought I had killed Gondremark,' she said with a deep flush, 'and I found myself alone, as you said.'|20|21|[2, 4]|['fear', 'sadness']|2
'I'm afraid there's nothing to be done, but I thought I'd better come and tell you.|14|15|[2]|['fear']|1
'I'm glad I'm going to Oxford at last, Harry,' she said, after a short pause.|4|5|[3]|['joy']|1
'I'm too ill to talk with you,' Kate replied, 'but I loved my husband well, too well.|16|17|[1, 3, 4]|['disgust', 'joy', 'sadness']|3
'In my dilettante way,' he replied smiling.|8|9|[3]|['joy']|1
'It was only forty pounds he needed,'' said the young man gloomily. |10|13|[4]|['sadness']|1
'It's certainly very pretty,' Harry went on, musing; 'but I'm afraid Le Breton would say it was a serious piece of economic hubris.'|17|18|[2]|['fear']|1
'Look round you at this glade,' she cried, 'and where the leaves are coming on young trees, and the flowers begin to blossom.|9|10|[4]|['sadness']|1
'My fear is certainly not personal,'' replied the other proudly; ''of that your Highness may rest well assured.''  |9|11|[3]|['joy']|1
'O, many, many,' said the Prince; 'but from you, who were bold with me in my greatness, I should even look for aid in my distress.'|32|33|[0, 1, 2, 3, 4, 5]|['anger', 'disgust', 'fear', 'joy', 'sadness', 'surprise']|6
'Oh, I don't know; don't ask me; I am so miserable at home; I can't tell you how unhappy I am.|27|28|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
'Right gladly will I be thy guide, Abdul,'' Ram Lal gave answer.''|4|5|[3]|['joy']|1
'Seraphina,' he cried, 'O, forget the past!|5|6|[4]|['sadness']|1
'Show pity,'' said the wise old Frenchman, ''do anything to alleviate distress, but avoid actually feeling either compassion or sympathy.|5|10|[4]|['sadness']|1
'Thank you, Harry, for the compliment.|5|7|[3, 5]|['joy', 'surprise']|2
'The spirit, sir,'' returned the young man, with another bow, ''is one of mockery.''  |8|10|[1]|['disgust']|1
'Therefore you accomplished your first destiny, and you drank of the cup that was filled to overflowing.|10|11|[3]|['joy']|1
'Unhappy man,'' he cried, ''you should not have burned them all!  |5|6|[4]|['sadness']|1
'Well, well, Mrs. Oswald,' said the old lady, shaking her head more violently than ever at this direct discomfiture, 'I don't want to argue with you about the matter.|33|34|[0]|['anger']|1
'Well, well, Mrs. Oswald,' said the old lady, shaking her head more violently than ever at this direct discomfiture, 'I don't want to argue with you about the matter.|14|16|[0, 1, 2, 5]|['anger', 'disgust', 'fear', 'surprise']|4
'Well,' he cried, 'and whose fault was it but mine?  |3|4|[4]|['sadness']|1
'What does he mean by half-way down the street,' she muttered; 'he meant a quarter down,' and she addressed herself to the door-keeper, who answered surlily that Mr. Lennox was particularly engaged at that moment, but at Mrs. Rawson's words--'I believe his wife is dying'--he agreed to send up a message as soon as he could get hold of somebody to take it.|65|67|[2, 4]|['fear', 'sadness']|2
'Yes, once; he wrote to me to say that he hoped to see me when he came home.'|18|19|[3, 5]|['joy', 'surprise']|2
'Yes,' he said, as though to himself; 'I love her. |12|13|[3]|['joy']|1
'You are a man any woman might love.|1|2|[3]|['joy']|1
'You are more beautiful every day, dear,' she added, in spite of a tremor which almost checked her in uttering a compliment which her sister might think too frivolous.|1|2|[3]|['joy']|1
'You are too generous, Otto,' she said.|1|2|[3]|['joy']|1
'You disregard those differences which you say are only of the intellect, and still love me.|6|7|[3]|['joy']|1
'You lack confidence in us,'' he said, ''and you are wrong.  |12|13|[1]|['disgust']|1
