text|entity_start|entity_end|emotion_labels|emotions|emotion_count
"""A clever woman!"" he echoed, scornfully; ""if she were only that I should feel safe as houses. Clever women can't forget their cleverness, they carry it as badly as a boy does his wine, and are about as dangerous."|5|6|[0]|['anger']|1
"""A clever woman!"" he echoed, scornfully; ""if she were only that I should feel safe as houses. Clever women can't forget their cleverness, they carry it as badly as a boy does his wine, and are about as dangerous."|13|14|[0]|['anger']|1
"""Ah yes,"" laughed Ralph; ""but to make up for it there's always some man awfully afraid of some woman!"" She gave no heed to this pleasantry, but suddenly took a different turn. ""With Henrietta at the head of your little band,"" she exclaimed abruptly, ""there will be nothing left for Mr."|55|56|[3, 5]|['joy', 'surprise']|2
"""Ah,--the devil!"" laughed Concho, ""what is the quicksilver that is IN to that which is OUT? Hoopa, la Mula!"""|8|10|[3]|['joy']|1
"""All things are possible to the rulers of the dark hour; and, lo! the star that loves thy servant spake to him at the dead of night, and said, 'Arise, and go unto the king; and tell him that the stars honour the tribe of Oestrich, and remember how the king bent his bow against the sons of Alrich; wherefore, look thou under the stone that lies to the right of thy dwelling, even beside the pine tree, and thou shalt see a vessel of clay, and in the vessel thou wilt find a sweet liquid, that shall make the king thy master forget his age forever.' Therefore, my lord, when the morning rose I went forth, and looked under the stone, and behold the vessel of clay; and I have brought it hither to my lord the king."""|17|19|[3]|['joy']|1
"""All things are possible to the rulers of the dark hour; and, lo! the star that loves thy servant spake to him at the dead of night, and said, 'Arise, and go unto the king; and tell him that the stars honour the tribe of Oestrich, and remember how the king bent his bow against the sons of Alrich; wherefore, look thou under the stone that lies to the right of thy dwelling, even beside the pine tree, and thou shalt see a vessel of clay, and in the vessel thou wilt find a sweet liquid, that shall make the king thy master forget his age forever.' Therefore, my lord, when the morning rose I went forth, and looked under the stone, and behold the vessel of clay; and I have brought it hither to my lord the king."""|21|23|[3]|['joy']|1
"""And art thou a fisherman as well as a wonder worker?"" There was mockery in the voice of Jael. ""Yea, of such fish as thou art."""|20|22|[3]|['joy']|1
"""And it's for the son of this man that I am made a beggar!"" Blanche said, quivering with anger, as she walked upstairs leaning on the Major's arm--""for this cheat--for this blackleg--for this liar--for this robber of women."" ""Calm yourself, my dear Miss Blanche,"" the old gentleman said; ""I pray calm yourself."|38|57|[0, 1]|['anger', 'disgust']|2
"""And it's for the son of this man that I am made a beggar!"" Blanche said, quivering with anger, as she walked upstairs leaning on the Major's arm--""for this cheat--for this blackleg--for this liar--for this robber of women."" ""Calm yourself, my dear Miss Blanche,"" the old gentleman said; ""I pray calm yourself."|66|68|[0, 1]|['anger', 'disgust']|2
"""And just think what it would be to give the baby to a woman who not only did not want her, but who was not her mother. But if her own mother came to claim her now, I don't say I would refuse her, but I should think twice about giving her up after she had once abandoned her for a whole night in the open air. In fact I don't want the parents."""|76|77|[4]|['sadness']|1
